image_id,source_dataset,split,class_name,source_text_reference,draft_a_translation,draft_b_translation,draft_c_translation,draft_a_flag,draft_b_flag,draft_c_flag,final_translation,resolution
tr_img_00056,ICDAR MLT-2019,held_out_from_train,Arabic,البلدية قصر,Municipality Palace,Municipality Palace,Municipality Palace,medium,medium,medium,Municipality Palace,majority_vote
tr_img_00061,ICDAR MLT-2019,held_out_from_train,Arabic,أقطع وشك,I'll cut your face.,I'll cut your face.,I'll cut your face.,medium,medium,medium,I'll cut your face.,majority_vote
tr_img_00427,ICDAR MLT-2019,held_out_from_train,Arabic,حلو كسكروت,Sweet Sandwich,Sweet sandwich,Sweet sandwich,medium,low,medium,Sweet Sandwich,majority_vote
tr_img_00544,ICDAR MLT-2019,held_out_from_train,Arabic,البركة,Al Baraka,Al Baraka,Blessing,low,medium,medium,Al Baraka,majority_vote
tr_img_00744,ICDAR MLT-2019,held_out_from_train,Arabic,الطفل مدينة,Child City,Child City,The child city,medium,medium,medium,Child City,majority_vote
tr_img_00782,ICDAR MLT-2019,held_out_from_train,Arabic,رمّانة,Rummana,Pomegranate,Pomegranate,low,low,low,Pomegranate,majority_vote
tr_img_01024,ICDAR MLT-2019,held_out_from_train,Latin,JobCenter,JobCenter,Job Center,JobCenter,low,low,low,JobCenter,majority_vote
tr_img_01552,ICDAR MLT-2019,held_out_from_train,Latin,LeVI'S R,Levi's R,Levi's R,Levi's R,low,medium,medium,Levi's R,majority_vote
tr_img_02991,ICDAR MLT-2019,held_out_from_train,Latin,BOULANGER,Baker,Baker,Boulanger,low,medium,medium,Baker,majority_vote
tr_img_03402,ICDAR MLT-2019,held_out_from_train,Chinese,觀雲白建勑,Guan Yun Bai Jian Chi,Guanyun Baijianchi,Guan Yun Bai Jian Chi,high,high,high,Guan Yun Bai Jian Chi,majority_vote
tr_img_03871,ICDAR MLT-2019,held_out_from_train,Chinese,老蒸笼,Old Steamer Basket,Old Steamer,Old Steamer,low,low,low,Old Steamer,majority_vote
tr_img_03887,ICDAR MLT-2019,held_out_from_train,Chinese,消防通道 停车,Fire lane parking,Fire Lane Parking,Fire access lane parking,medium,medium,medium,Fire lane parking,majority_vote
