source_dataset,split,image_id,class_name,image_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes,local_image_path,review_flag,codex_status,codex_model,codex_error,selection_language,normalized_chrf,predicted_translation,normalized_match,contains_match,language_rank,global_rank
ICDAR MLT-2019,held_out_from_train,tr_img_00739,Arabic,TrainImages/TrainImages/tr_img_00739.jpg,TrainGT/TrainGT/tr_img_00739.txt,96.9284,مغلق,en,Closed,codex_sdk_draft,,"مغلق | Clear Arabic word meaning ""Closed"".",../kaggle_upload/images/arabic/tr_img_00739.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,closed,true,true,1,1
ICDAR MLT-2019,held_out_from_train,tr_img_00782,Arabic,TrainImages/TrainImages/tr_img_00782.jpg,TrainGT/TrainGT/tr_img_00782.txt,93.9742,رمّانة,en,pomegranate,codex_sdk_draft,,رمّانة | Common Arabic noun meaning “pomegranate.”,../kaggle_upload/images/arabic/tr_img_00782.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,Pomegranate,true,true,2,2
ICDAR MLT-2019,held_out_from_train,tr_img_00069,Arabic,TrainImages/TrainImages/tr_img_00069.jpg,TrainGT/TrainGT/tr_img_00069.txt,83.9451,ادْفَع البَابْ,en,Push the door,codex_sdk_draft,,ادْفَع | Clear imperative phrase.,../kaggle_upload/images/arabic/tr_img_00069.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,Push The door,true,true,3,3
ICDAR MLT-2019,held_out_from_train,tr_img_00679,Arabic,TrainImages/TrainImages/tr_img_00679.jpg,TrainGT/TrainGT/tr_img_00679.txt,81.8006,المنصورة,en,Mansoura,codex_sdk_draft,,المنصورة | Proper noun; transliterated.,../kaggle_upload/images/arabic/tr_img_00679.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,Mansoura,true,true,4,4
ICDAR MLT-2019,held_out_from_train,tr_img_00714,Arabic,TrainImages/TrainImages/tr_img_00714.jpg,TrainGT/TrainGT/tr_img_00714.txt,78.6587,إضراب,en,Strike,codex_sdk_draft,,إضراب | Arabic word meaning “strike.”,../kaggle_upload/images/arabic/tr_img_00714.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,strike,true,true,5,5
ICDAR MLT-2019,held_out_from_train,tr_img_00541,Arabic,TrainImages/TrainImages/tr_img_00541.jpg,TrainGT/TrainGT/tr_img_00541.txt,78.0315,المفروشات قاعة,en,Furnishings Hall,codex_sdk_draft,,قاعة | A short sign fragment; literal reading is “furnishings” and “hall.”,../kaggle_upload/images/arabic/tr_img_00541.jpg,medium,ok,gpt-5.6-luna,,Arabic,1.0000,Furnishings hall,true,true,6,6
ICDAR MLT-2019,held_out_from_train,tr_img_00725,Arabic,TrainImages/TrainImages/tr_img_00725.jpg,TrainGT/TrainGT/tr_img_00725.txt,76.0935,الشرطة,en,Police,codex_sdk_draft,,الشرطة | Arabic word meaning “police.”,../kaggle_upload/images/arabic/tr_img_00725.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,Police,true,true,7,7
ICDAR MLT-2019,held_out_from_train,tr_img_00753,Arabic,TrainImages/TrainImages/tr_img_00753.jpg,TrainGT/TrainGT/tr_img_00753.txt,75.6562,مغلق ٠١٢٨٨٨٠٥٨٤ ٠١٠٦٨٨٨٩٢٦,en,Closed 0128880584 0106888926,codex_sdk_draft,,مغلق | Arabic text means “Closed”; phone numbers preserved.,../kaggle_upload/images/arabic/tr_img_00753.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,closed 0128880584 0106888926,true,true,8,8
ICDAR MLT-2019,held_out_from_train,tr_img_00555,Arabic,TrainImages/TrainImages/tr_img_00555.jpg,TrainGT/TrainGT/tr_img_00555.txt,72.83,موريطانيا,en,Mauritania,codex_sdk_draft,,موريطانيا | Proper noun; transliterated as Mauritania.,../kaggle_upload/images/arabic/tr_img_00555.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,Mauritania,true,true,9,9
ICDAR MLT-2019,held_out_from_train,tr_img_00416,Arabic,TrainImages/TrainImages/tr_img_00416.jpg,TrainGT/TrainGT/tr_img_00416.txt,71.6631,الكويت بلدية,en,Kuwait Municipality,codex_sdk_draft,,بلدية | Natural rendering of the organization name.,../kaggle_upload/images/arabic/tr_img_00416.jpg,low,ok,gpt-5.6-luna,,Arabic,1.0000,Kuwait municipality,true,true,10,10
