image_id,source_dataset,split,class_name,source_text_reference,draft_a_translation,draft_a_flag,draft_b_translation,draft_b_flag,agreement,manual_review_needed,notes_a,notes_b
tr_img_00021,ICDAR MLT-2019,held_out_from_train,Arabic,بحب بلدى,I love my country,low,I love my country,low,yes,no,بحب | Egyptian Arabic.,بحب | Colloquial Arabic; existing note indicates the first word means “I love.”
tr_img_00069,ICDAR MLT-2019,held_out_from_train,Arabic,ادْفَع البَابْ,Push the door,low,Push the door,low,yes,no,ادْفَع | Imperative phrase; existing note matches the verb.,ادْفَع | Clear imperative phrase.
tr_img_00135,ICDAR MLT-2019,held_out_from_train,Arabic,الثورة,The Revolution,low,The Revolution,low,yes,no,الثورة | Arabic definite noun: الثورة.,الثورة | Arabic definite noun; also possibly a proper name depending on context.
tr_img_00410,ICDAR MLT-2019,held_out_from_train,Arabic,عمار اثاث,Ammar Furniture,low,Ammar Furniture,low,yes,no,اثاث | عمار is a name; اثاث means furniture.,اثاث | Likely a business name; عمار is transliterated and اثاث means furniture.
tr_img_00432,ICDAR MLT-2019,held_out_from_train,Arabic,هارديز,Hardee's,low,Hardee's,low,yes,no,هارديز | Brand name transliteration.,هارديز | Brand name.
tr_img_00617,ICDAR MLT-2019,held_out_from_train,Arabic,رويال,Royal,low,Royal,low,yes,no,رويال | Common Arabic transliteration of “Royal.”,رويال | Common transliteration/brand name.
tr_img_00632,ICDAR MLT-2019,held_out_from_train,Arabic,رمل,sand,low,Sand,low,yes,no,رمل | Clear Arabic word.,رمل | Clear Arabic word.
tr_img_00679,ICDAR MLT-2019,held_out_from_train,Arabic,المنصورة,Al Mansoura,low,Al Mansoura,low,yes,no,المنصورة | Arabic proper noun; transliterated.,المنصورة | Proper place name; transliterated.
tr_img_00717,ICDAR MLT-2019,held_out_from_train,Arabic,القطيفة,Velvet,low,Velvet,low,yes,no,القطيفة | Common Arabic word for velvet.,القطيفة | Common Arabic word for velvet.
tr_img_00739,ICDAR MLT-2019,held_out_from_train,Arabic,مغلق,Closed,low,Closed,low,yes,no,مغلق | Clear Arabic status word.,مغلق | Clear Arabic word meaning 'closed'.
tr_img_00792,ICDAR MLT-2019,held_out_from_train,Arabic,التَعليميَة المهَن نقَابةْ,Educational Professions Syndicate,low,Educational Professions Syndicate,low,yes,no,نقَابةْ | Arabic word order appears reversed in the snippet; translates naturally as this organization name.,نقَابةْ | The Arabic word order appears reversed in the source.
tr_img_00795,ICDAR MLT-2019,held_out_from_train,Arabic,مفتوح,Open,low,Open,low,yes,no,مفتوح | Clear Arabic adjective/state meaning “open.”,مفتوح | Clear Arabic word meaning “open.”
tr_img_00946,ICDAR MLT-2019,held_out_from_train,Arabic,روضة الصفاء,Rawdat Al Safa,low,Rawdat Al Safa,low,yes,no,روضة | Likely a proper name; transliterated conservatively.,روضة | Likely a proper name; transliterated conservatively.
